,Title,rating score,IsItPositive,Review
0," A decent if slightly underwhelming start
",7,False,"I'm not one to expect a death/shock/twist every episode and can appreciate a slower more narrative approach in an episode, but this felt like neither and was more of a reflection on what has happened so far.This reflection is felt by many of the characters after the last couple of episodes last season...it's not so much the hurt but rather the unknown and how many of these characters do not know how to move forward.The most interesting scenes were played out at The Wall - with some great dialogue on pride vs. survival (I may have over simplified it here but it was quite powerful stuff, especially in how that climax played out). Also great was the scenes with Varys and Tyrion - this could have been played out with sympathy or regrets or feeling sorry but was very well shown by the main two leads. One of GOT's biggest strengths is the relationships between characters and this one should be great to see develop over the season.In summary, a decent start but you do get the feeling that more is to come in the season!"
1," A solid start to Series Five
",8,True,"This, the first episode of the firth series opens with two young girls walking through the woods to a small shack where they find a woman; one of the girls demands that the woman tell her what will happen in her future. She is told that she will marry the king and have three children who will wear golden crowns and golden shrouds. It then becomes apparent that the girl was Cersei Lannister and she was recalling past events. With her powerful father dead she is certain that the family's enemies are just waiting for the right time to move against them.Across the Narrow Sea Tyrion and Varys have reached Pentos; Varys still believes that Tyrion will have an important role ensuring that the right person ends up on the Iron Throne but Tyrion is just keen to be drunk. In Meereen things aren't going according to plan for Daenerys; one of the unsullied has been murdered while visiting a brothel and she is being petitioned to reopen the fighting pits where combatants would fight to the death; something she finds intrinsically offensive. If that weren't enough her dragons are growing even bigger and don't appear to be controllable.At Castle Black Stannis asks Jon to persuade Mance Rayder to bend his knee and join his forces; Jon is convinced that Mance would rather die than bend his knee. Elsewhere Sansa and Lord Baelish are heading to somewhere far from the capital and Brienne is trying to get Pod to stop travelling with her.While this wasn't as exciting as the previous episode it is still pretty solid; inevitably some time is spent reminding us what has been happening to some, but by no means all, the major characters. It also hints at many things to come; notably introducing a group known as the 'Sons of the Harpy'; a group opposed to Daenerys's rule, another religious group in King's Landing and having Stannis tell us of his plans to liberate the north then the rest of Westeros. This was all fairly interesting even though there wasn't much in the way of action. That isn't to say there was no action; the final scene showing Mance's execution was impressive as was the sight of the dragons, which have grown considerable since we last saw them. As expected the cast do a fine job; Peter Dinklage and Conleth Hill impressed in there scene together as Tyrion and Varys and Ciarán Hinds does a fine job depicting Mance Rayder as he prepares for his unpleasant death he is a character who will be missed. Overall this episode got the fifth season off to a decent start; I look forward to seeing the rest of the season."
2," Good Table Setting
",8,True,"Every once in a while, all literature pauses and takes a breath. With something like this, with as many simultaneous stories as are here, it is good to see where everyone is at. For some there has been a period of time between watching episodes since some do not let a TV series, as fantastic as it is, rule their lives. Nearly all the participants are paused and put in their proper milieu. We see challenges ahead. John Snow continues to be put in positions of sever decision making. The Queen is even more vengeful, after the death of her father. She's smolders and we don't know how she will erupt (oops, mixed metaphor). Littlefinger is off to a place he never specifies with the kidnapped, but willing, heir to the throne. The Wildings are made to see a horror that can only make them more formidable in the future, even with the loss of their leader. And Dany has the dragons and her future in doubt. Sounds like fun times ahead."
3," Basement for the season is constructed
",9,True,"This story starts from where it left, Tyrion coming out of the Wooden box, Cersei and Jamie feeling differently about Tyrion and their father's death. Everything expected happens to Mance Rayder, as John plays a sitting duck in settling the truce. I don't seem to fancy Khaleesi and the charmer Daario Naharis' relationship. It only weaken's the Dragons' Mother's charismatic character. (Probably that's the writers' intent).'Littlefinger' Baelish and Lord Varys get a little more important in this one.Overall it's a great episode, the next one should be about Arya Stark.My Rating - 9/10 -------------------------------Game of thrones directors have unique way of filming and showing the content. They film episodes in tandem and in parallel, showing say 3 stories in one episode and another 3 stories in next episode. This makes the show riveting and fresh and very new scene is about another character. ------------------"
4," The Epic Saga Returns
",9,True,"GoT is back, And it has not fallen in quality as the producers go out of there way, As we see monuments falling of pyramids and almost full grown dragons. I think what I admire about this show is that there is dialog in every episode that is better then the previous, As in this particular episode it was ""Man or woman, Young or old, Lord or peasant. Our choices are the same. We choose light or we choose darkness.""I think the highlight of the episode was Daenerys, The Mother Of Dragons trembled at the sight of what her ""kids"" had turned into, Monsters seems like a suitable word as any. Emilia Clarke plays both a powerful and at the same time innocent character quite nicely, And Daenerys is a strong candidate to take the iron throne."
5," Not remarkable, but good
",7,False,"By the time of season 5, the best of GAME OF THRONES was in the past, at least in terms of season consistency (although the show would still go on to have some episodes which surpass the quality overall of earlier ones). Season 5 is one I remember as being particularly weak, at least early on, although this opening episode isn't too bad. I don't think the flashback at the start is a good idea, but the rest works very well. The scenes at Castle Black are particularly good when focusing on the new dynamics between Jon, Stannis, Alliser and Mance, and the new threat in Meereen has plenty of potential."
6," In my opinion, wrong way to start the new season of the ""best show ever""
",5,False,"I'm just going to get it out of the way: yes, I have read the books. Yes, I prefer them to the show. But still, I understand that the books cannot be adapted word by word into a TV show. And still, WHAT THE HELL WAS THIS EPISODE? Can anybody answer me this: WHAT HAPPENED? I mean, storyline wise, WHAT HAPPENED? I have an answer: NOTHING. Nothing happened in this episode. Nothing of relevance. The only thing was the ending, where something actually did happen. But otherwise? Nothing at all happened. It was like ""oh look, there is Cersei. Oh look, there is Tyrion. Oh look, that's Tywin corpse."" And? ""Nothing, there they are. You missed them, didn't you?"" OK, so you might say: this is the ""the-board-is-set"" episode, where they hint at us what could happen in the next. BUT NO. None of the scenes in this episodes where of any relevance. This episode might have been a ""webisode"" and it would have worked so much better. Because, you know what? They say this is the best series ever. The best series ever contains ten episodes per season. And they spend one of those ten on this? On another subject: Weiss and Benioff stated that they broke their rule of ""no-flashbacks"" because it would work. Well guess what? IT DID NOT. That useless scene of Cersei's flashback omitted the only reason of it's existence: (yes, as a person who has read the books, I'm going to say it) SPOILER ALERT! So, Maggy (the witch) tells Cersei ""you will not wed a prince, but a king"". We know what she meant: she would not marry Rhaegar Targaryen, but Robert Baratheon. She tells her ""your husband will have 20 children, you will have three"". We also know what that meant: Robert had many bastards, and Cersei had three illegitimate children. She also tells her ""you will be queen for a while, but then a younger one will come"". Yes, we also know what that meant: she's the queen, and then along comes Margery. We all know these because all of it are stated facts in the TV Show. We have seen them. SO WHAT WAS THE BLOODY POINT IN OMITTING THE OTHER THING MAGGY TELLS CERSEI?! WE ALREADY KNEW ALL OF THAT SHE TOLD HER!!! What was the point in not-showing that Cersei also asks Maggy how is she going to die?! Because, evidently, that's something we, the viewers, don't know!!! I hope they add THAT part in future episodes, because otherwise, I go back to my main point: in these episode absolutely nothing happened. Every scene was just a ""fill-in"" scene.What a terrible way to start the new season...."
7," A Very Assured and Confident Opener.
",10,True,"MAJOR BOOK SPOILERS BELOW!Game of Thrones Premieres are always hindered by the fact that they have a lot of characters to catch up with and a lot of new characters to introduce. This episode was thankfully astute enough to not include every principle character and to not introduce any new ones (Dorne will be visited in episode 2) making it stand out from previous premieres that jump around too much.Already in the 1st episode you can see the things David and Dan have been talking about during the press tour. The episode does indeed, include the 1st flashback scene in the show's history, story lines that take characters on alternate routes to get to where they are in the books and the death of a character who lives past this point in the books. From this episode you can already see the season set up for many of the main characters, which is the hallmark of a great premiere.From the flashback you can already see the war that will play out between Cersei and Margaery that is the defining storyline of A Fest For Crows. Margaery's scene with Loras set up this war of noble women further and alluded to scheming from Margaery that wasn't present in the book. The reintroduction of the now religiously fanatical Loras foreshadows the role religion is going to play in this rivalry also.The Tyrion and Varys scenes were brilliant and more importantly than revealing Varys' motives, revealed that Aegon has been cut and his story has melded with Daenerys'. The brief scene between Sam and Gilly set up Jon Snow becoming Lord Commander and Sam's role in enabling this because Sam now has a motive to empower a Lord Commander that is sympathetic to the Wildlings rather than the Wildling hate Alliser Thorne. This episode makes it clear that Jon would be one such Lord Commander because not only did the episode briefly hint at Melisandre's fascination with him and her subsequent prophecy, but it also foreshadowed his plans to incorporate the Wildlings into the Nights Watch and his eventual but dubious demise. Davos' observation about Jon's burial of Ygritte and Jon's mercy killing of Mance set this up nicely.With Daenerys it's clear that they're going off book in regards to her connection to Tyrion and other matters. However, there is subtle foreshadowing of events that happen to her in the books. The introduction of The Sons of The Harpy and the reintroduction of Hizdahr provide this. It's clear that Daenerys will be in a season long conflict with this group and the main foreshadowing in relation this, comes from Hizdahr's lines about compromise, ruling happy rather than angry subjects and respecting traditions. From this it's clear that Daenerys will lose this conflict and be forced to compromise with the Sons by marrying Hizdahr (Which she does in the books) a man of the Sons culture, showing that she respects their traditions and making them happier in the process.It's quite obvious that the Littlefinger and Brienne stories are going off book. However, the episode does suggest that Sansa and Littlefinger are going North so that Littlefinger can control the North through Sansa's heritage.Ultimately, the title of The Wars To Come is very appropriate as the wars between Stannis and Roose, Cersei and Margaery and Daenerys and The Sons Of The Harpy were all set up. This premiere had great acting, writing, foreshadowing, sex and violence making it a masterful season opener."
8," After Several Months, Disappointing Beginning of Season
",7,False,"Cersei comes to the funeral of her father Tywin Lannister and blames her brother Jaime for his death. Tyrion arrives at his destination transported in a wooden box and Lord Varys discloses that Jaime had asked him to save his brother. White Rat is murdered in a brothel and Daenerys asks Grey Warm to find the killer. She visits her dragons in the dungeons but they do not respect her. Jon Snow is training a teenager, but Melisandre brings him to talk to Stannis Baratheon. He assigns Snow to convince Mance Rayder to bend his knees for him and make his people fight with his army. Will Mance accept the deal?After several months waiting for the return of ""Game of Thrones"", the beginning of this season is disappointing. There is nothing important in this episode showing a total lack of inspiration of the writers and director. My vote is seven.Title (Brazil): ""The Wars to Come"""
9," 'The Wars To Come' - Excellent opener for the new season
",10,True,"Season 5 of the highly anticipated TV-series 'Game of Thrones' starts quite macabre. We see a young Cersei, visiting a fortune teller. Cersei asks for her future but she doesn't get the answers the expected to get. Then we see her in a wagon, riding to the Sept of Baelor. There she says goodbye to her father, who recently passed away. She blames her brother for this. Later, we see Tyrion arriving in Pentos. There's nothing really important about the scene, but Tyrion's acting there was entertaining. We go to Meereen, where an unsullied is killed by a Son of the Harpy. This already sets the tone for the new season! It's starting to get intense. We move on to Sansa, who's watching Robyn's stumbling training. Littlefinger is up to something and we badly want to know want. And then, her way crosses with Brienne of Tarth. I am curious how that will play out. Normally I am not a fan of the Wall but Stannis's presence really makes it interesting. The scenes at the Wall might be the best thing about this episode! Later, we see another scene of our beloved Queen of Dragons. She shares the bed with Daario Naharis and she visits her 'angry' dragons again. Beautiful scene! Cersei also sees Kevan Lannister and his son, Lancel Lannister again. This was the surprise of the episode. What a metamorphose.. And he doesn't seem to be the clumsy boy anymoreWhat did I like about this episode + The prophecy flashback: Good way to start with Cersei's arc, which might be the central arc of this season + Meereen: Great scenes (Dragons, Harpy is taken down, Throat slit of the unsullied man). + The Wall: The execution scene of Mance Rayder (really intense!) + Littlefinger's plan: What is he up to? What did I not like about this episode: Brienne and Podrick scene was boring and not necessary Tyrion and Varys scene: quite boring. Nice to see that Varys finally lays his cards on the table!Overall result: 8,5/10 'The Wars to Come' is in my opinion the best season premiere yet. It begins with a 'small' BOOM."
