,Name,Season,Review Link,Year
0,The Wars to Come,5,https://www.imdb.com/title/tt3658012/reviews,2015
1,The House of Black and White,5,https://www.imdb.com/title/tt3846626/reviews,2015
2,High Sparrow,5,https://www.imdb.com/title/tt3866836/reviews,2015
3,Sons of the Harpy,5,https://www.imdb.com/title/tt3866838/reviews,    
4,Kill the Boy,5,https://www.imdb.com/title/tt3866840/reviews,    
5,"Unbowed, Unbent, Unbroken",5,https://www.imdb.com/title/tt3866842/reviews,    
6,The Gift,5,https://www.imdb.com/title/tt3866846/reviews,    
7,Hardhome,5,https://www.imdb.com/title/tt3866850/reviews,    
8,The Dance of Dragons,5,https://www.imdb.com/title/tt3866826/reviews,2015
9,Mother's Mercy,5,https://www.imdb.com/title/tt3866862/reviews,2015
10,The Red Woman,6,https://www.imdb.com/title/tt3658014/reviews,2016
11,Home,6,https://www.imdb.com/title/tt4077554/reviews,    
12,Oathbreaker,6,https://www.imdb.com/title/tt4131606/reviews,    
13,Book of the Stranger,6,https://www.imdb.com/title/tt4283016/reviews,    
14,The Door,6,https://www.imdb.com/title/tt4283028/reviews,    
15,Blood of My Blood,6,https://www.imdb.com/title/tt4283054/reviews,    
16,The Broken Man,6,https://www.imdb.com/title/tt4283060/reviews,2016
17,No One,6,https://www.imdb.com/title/tt4283074/reviews,2016
18,Battle of the Bastards,6,https://www.imdb.com/title/tt4283088/reviews,2016
19,The Winds of Winter,6,https://www.imdb.com/title/tt4283094/reviews,2016
20,Dragonstone,7,https://www.imdb.com/title/tt5654088/reviews,2017
21,Stormborn,7,https://www.imdb.com/title/tt5655178/reviews,2017
22,The Queen's Justice,7,https://www.imdb.com/title/tt5775840/reviews,2017
23,The Spoils of War,7,https://www.imdb.com/title/tt5775846/reviews,2017
24,Eastwatch,7,https://www.imdb.com/title/tt5775854/reviews,2017
25,Beyond the Wall,7,https://www.imdb.com/title/tt5775864/reviews,2017
26,The Dragon and the Wolf,7,https://www.imdb.com/title/tt5775874/reviews,2017
27,Winterfell,8,https://www.imdb.com/title/tt5924366/reviews,2019
28,A Knight of the Seven Kingdoms,8,https://www.imdb.com/title/tt6027908/reviews,2019
29,The Long Night,8,https://www.imdb.com/title/tt6027912/reviews,2019
30,The Last of the Starks,8,https://www.imdb.com/title/tt6027914/reviews,    
31,The Bells,8,https://www.imdb.com/title/tt6027916/reviews,    
32,The Iron Throne,8,https://www.imdb.com/title/tt6027920/reviews,    
